Location,Field,Latitude,Longitude,PlantingDate
USAD,434N,44.3078,-96.7065,4/29/2021
USBY,953N,35.734456,-90.506085,4/15/2021
USCL,765N,40.2206,-88.922,4/6/2021
USCL,761N,40.3855,-89.0534,6/3/2021
USCL,761R,40.3855,-89.0534,6/4/2021
USCL,765T,40.2206,-88.922,5/22/2021
USJA,462N,42.6657,-88.9577,5/8/2021
USJA,462T,42.6657,-88.9577,5/15/2021
USMK,674N,41.0677,-84.9268,5/19/2021
USSL,641N,41.8852,-93.7031,5/5/2021
USSL,641T,41.8852,-93.7031,6/4/2021
USST,453N,41.8852,-93.7031,4/30/2021
USST,453T,41.8852,-93.7031,5/18/2021
USSW,733N,40.8182,-97.2109,3/31/2021
